"","region_id","zone","area","status","year"
"110",1,"Horoatera",0.870078933438646,1,2020
"111",1,"Hiraanae",0.001100493961161,1,2020
"112",1,"Honuea",0.29743536186033,1,2020
"113",1,"Onetahi",0.751000573862474,1,2014
"114",1,"Reiono",0.232100155542133,1,2014
"115",1,"Rimatuu",0.903521034107308,1,2014
"116",1,"Tahuna Rahi",0.076107024461502,1,2014
"117",1,"Tahuna Iti",0.009172773697991,1,2014
"118",1,"Tauvine",0.079748509665234,1,2014
"119",1,"Tiaraunu",1.70884833766718,1,2014
"120",1,"Offshore",181.891318821236,0,2014
"121",1,"No take zone",35.89160134,0.5,2014
"122",1,"Rest of lagoon",35.89160134,0.75,2014
"123",1,"Aie",0.009775186488655,1,2014
"124",1,"Aie",0.023277683208063,1,2014
"125",1,"Ahuroa",0.046627710105536,1,2014
"126",1,"Hiraanae",0.353004842003619,1,2014
"127",1,"Horoatera",0.870078933438646,1,2014
"128",1,"Hiraanae",0.001100493961161,1,2014
"129",1,"Honuea",0.29743536186033,1,2015
"130",1,"Onetahi",0.751000573862474,1,2015
"131",1,"Reiono",0.232100155542133,1,2015
"132",1,"Rimatuu",0.903521034107308,1,2015
"133",1,"Tahuna Rahi",0.076107024461502,1,2015
"134",1,"Tahuna Iti",0.009172773697991,1,2015
"135",1,"Tauvine",0.079748509665234,1,2015
"136",1,"Tiaraunu",1.70884833766718,1,2015
"137",1,"Offshore",181.891318821236,0,2015
"138",1,"No take zone",35.89160134,0.5,2015
"139",1,"Rest of lagoon",35.89160134,0.75,2015
"140",1,"Aie",0.009775186488655,1,2015
"141",1,"Aie",0.023277683208063,1,2015
"142",1,"Ahuroa",0.046627710105536,1,2015
"143",1,"Hiraanae",0.353004842003619,1,2015
"144",1,"Horoatera",0.870078933438646,1,2015
"145",1,"Hiraanae",0.001100493961161,1,2016
"146",1,"Honuea",0.29743536186033,1,2016
"147",1,"Onetahi",0.751000573862474,1,2016
"148",1,"Reiono",0.232100155542133,1,2016
"149",1,"Rimatuu",0.903521034107308,1,2016
"150",1,"Tahuna Rahi",0.076107024461502,1,2016
"151",1,"Tahuna Iti",0.009172773697991,1,2016
"152",1,"Tauvine",0.079748509665234,1,2016
"153",1,"Tiaraunu",1.70884833766718,1,2016
"154",1,"Offshore",181.891318821236,0,2016
"155",1,"No take zone",35.89160134,0.5,2016
