"zone","year","pressure_score"
1,1964,0.112059440267583
1,1965,0.112059440267583
1,1966,0.112059440267583
1,1967,0.112059440267583
1,1974,0.112059440267583
1,1975,0.112059440267583
1,1976,0.112059440267583
1,1977,0.112059440267583
1,1984,0.112059440267583
1,1985,0.112059440267583
1,1986,0.112059440267583
1,1987,0.112059440267583
1,1994,0.112059440267583
1,1995,0.112059440267583
1,1996,0.112059440267583
1,1997,0.112059440267583
1,2004,0.112059440267583
1,2005,0.112059440267583
1,2006,0.112059440267583
1,2007,0.112059440267583
1,2014,0.112059440267583
1,2015,0.112059440267583
1,2016,0.112059440267583
1,2017,0.112059440267583
