iucn_sid,sciname,population,category,common
48342321,Istiblennius lineatus,NA,LC,Black-lined Blenny
48342477,Plagiotremus rhinorhynchos,NA,LC,Bluestriped Fangblenny
48342366,Plagiotremus tapeinosoma,NA,LC,Piano Fangblenny
48342213,Entomacrodus striatus,NA,LC,Blackspotted Rockskipper
48342309,Petroscirtes xestus,NA,LC,Bearded Sabretooth Blenny
192811,Conus planorbis,NA,LC,NA
192634,Conus miles,NA,LC,NA
192636,Conus coronatus,NA,LC,NA
192506,Conus pulicarius,NA,LC,Flea Cone
192844,Conus lividus,NA,LC,NA
192879,Conus pertusus,NA,LC,NA
192611,Conus ebraeus,NA,LC,NA
192815,Conus auricomus,NA,LC,NA
192704,Conus acutangulus,NA,LC,NA
192297,Conus bullatus,NA,LC,Bubble Cone
192296,Conus sanguinolentus,NA,LC,NA
192327,Conus muriculatus,NA,LC,NA
192587,Conus bandanus,NA,LC,NA
192829,Conus circumcisus,NA,LC,NA
192754,Conus coffeae,NA,LC,NA
192567,Conus mitratus,NA,LC,NA
192694,Conus varius,NA,LC,NA
192843,Conus legatus,NA,LC,NA
192789,Conus tulipa,NA,LC,NA
192778,Conus vexillum,NA,LC,NA
192812,Conus quercinus,NA,LC,NA
192447,Conus armadillo,NA,LC,NA
192424,Conus obscurus,NA,LC,NA
192700,Conus eburneus,NA,LC,NA
192413,Conus aureus,NA,LC,NA
192428,Conus rattus,NA,LC,NA
192521,Conus retifer,NA,LC,NA
192593,Conus imperialis,NA,LC,NA
192321,Conus striatus,NA,LC,NA
192737,Conus canonicus,NA,LC,NA
192316,Conus textile,NA,LC,NA
192367,Conus catus,NA,LC,NA
192318,Conus nussatella,NA,LC,NA
192460,Conus generalis,NA,LC,NA
192722,Conus glans,NA,LC,NA
192564,Conus moreleti,NA,LC,NA
192562,Conus flavidus,NA,LC,Yellow Pacific cone
192743,Conus tessulatus,NA,LC,NA
192648,Conus tenuistriatus,NA,LC,NA
192664,Conus episcopatus,NA,LC,NA
192419,Conus frigidus,NA,LC,Frigid Cone
192674,Conus sponsalis,NA,LC,Sponsal Cone
192853,Conus virgo,NA,LC,NA
192793,Conus cylindraceus,NA,LC,Cylindrical Cone
192342,Conus emaciatus,NA,LC,False Virgin Cone
192305,Conus distans,NA,LC,NA
192719,Conus litteratus,NA,LC,NA
192586,Conus terebra,NA,LC,NA
192870,Conus arenatus,NA,LC,Sand-dusted Cone
192563,Conus aulicus,NA,LC,NA
192772,Conus geographus,NA,LC,NA
192538,Conus ferrugineus,NA,LC,NA
192378,Conus litoglyphus,NA,LC,NA
192573,Conus magnificus,NA,LC,NA
192848,Conus adamsonii,NA,LC,NA
192580,Conus chaldaeus,NA,LC,NA
192386,Conus leopardus,NA,LC,NA
133378,Goniopora somaliensis,NA,LC,NA
133652,Leptastrea transversa,NA,LC,NA
133305,Montipora verrilli,NA,DD,NA
133351,Leptoseris mycetoseroides,NA,LC,NA
133091,Leptoseris scabra,NA,LC,NA
133066,Montipora informis,NA,LC,NA
133558,Pavona cactus,NA,VU,NA
133115,Acropora retusa,NA,VU,NA
133020,Acropora tenuis,NA,NT,NA
132936,Favia pallida,NA,LC,NA
133207,Acropora clathrata,NA,LC,NA
133146,Turbinaria frondens,NA,LC,NA
133242,Pavona frondifera,NA,LC,NA
133313,Acropora cytherea,NA,LC,NA
132966,Acropora rambleri,NA,DD,NA
133158,Podabacia crustacea,NA,LC,NA
133437,Fungia moluccensis,NA,LC,NA
133292,Astreopora myriophthalma,NA,LC,NA
133443,Montipora australiensis,NA,VU,NA
132980,Leptoria phrygia,NA,NT,NA
