"sciname","class"
"conus aulicus","gastropoda"
"conus geographus","gastropoda"
"conus ferrugineus","gastropoda"
"conus litoglyphus","gastropoda"
"conus magnificus","gastropoda"
"conus adamsonii","gastropoda"
"conus chaldaeus","gastropoda"
"conus leopardus","gastropoda"
"goniopora somaliensis","anthozoa"
"leptastrea transversa","anthozoa"
"montipora verrilli","anthozoa"
"leptoseris mycetoseroides","anthozoa"
"leptoseris scabra","anthozoa"
"montipora informis","anthozoa"
"pavona cactus","anthozoa"
"acropora retusa","anthozoa"
"acropora tenuis","anthozoa"
"favia pallida","anthozoa"
"acropora clathrata","anthozoa"
"turbinaria frondens","anthozoa"
"pavona frondifera","anthozoa"
"acropora cytherea","anthozoa"
"acropora rambleri","anthozoa"
"podabacia crustacea","anthozoa"
"fungia moluccensis","anthozoa"
"astreopora myriophthalma","anthozoa"
"montipora australiensis","anthozoa"
"leptoria phrygia","anthozoa"
"alveopora allingi","anthozoa"
"acropora inermis","anthozoa"
"barabattoia laddi","anthozoa"
"psammocora nierstraszi","anthozoa"
"acropora nana","anthozoa"
"acropora samoensis","anthozoa"
"pachyseris speciosa","anthozoa"
"favia stelligera","anthozoa"
"stylophora pistillata","anthozoa"
"acropora speciosa","anthozoa"
"plerogyra sinuosa","anthozoa"
"goniastrea australensis","anthozoa"
"acropora glauca","anthozoa"
"acropora abrotanoides","anthozoa"
"favia rotumana","anthozoa"
"porites vaughani","anthozoa"
"pavona varians","anthozoa"
"psammocora haimeana","anthozoa"
"echinophyllia aspera","anthozoa"
"montipora angulata","anthozoa"
"acropora austera","anthozoa"
"pavona maldivensis","anthozoa"
"montipora venosa","anthozoa"
"acropora humilis","anthozoa"
"turbinaria reniformis","anthozoa"
"echinopora lamellosa","anthozoa"
"favia favus","anthozoa"
"montipora floweri","anthozoa"
"acropora tortuosa","anthozoa"
"psammocora superficialis","anthozoa"
"acropora lutkeni","anthozoa"
"montipora spumosa","anthozoa"
"acropora striata","anthozoa"
"acropora latistella","anthozoa"
"merulina ampliata","anthozoa"
"montipora lobulata","anthozoa"
"stylocoeniella armata","anthozoa"
"madracis kirbyi","anthozoa"
"favites complanata","anthozoa"
"montipora turgescens","anthozoa"
"acropora nasuta","anthozoa"
"favites russelli","anthozoa"
"acropora elseyi","anthozoa"
"acropora gemmifera","anthozoa"
"montipora danae","anthozoa"
"fungia scutaria","anthozoa"
"porites lutea","anthozoa"
"montipora effusa","anthozoa"
"platygyra pini","anthozoa"
"fungia tenuis","anthozoa"
"montipora aequituberculata","anthozoa"
"astreopora randalli","anthozoa"
"mycedium elephantotus","anthozoa"
"acropora valida","anthozoa"
"cyphastrea chalcidicum","anthozoa"
"porites latistella","anthozoa"
"barabattoia amicorum","anthozoa"
"porites arnaudi","anthozoa"
"pocillopora woodjonesi","anthozoa"
"montipora caliculata","anthozoa"
"fungia sinensis","anthozoa"
"acropora hyacinthus","anthozoa"
"acropora vaughani","anthozoa"
"fungia paumotensis","anthozoa"
"acropora sarmentosa","anthozoa"
"pocillopora eydouxi","anthozoa"
"pavona clavus","anthozoa"
"porites lobata","anthozoa"
"echinophyllia echinata","anthozoa"
"favia matthaii","anthozoa"
"seriatopora hystrix","anthozoa"
"acropora granulosa","anthozoa"
"fungia repanda","anthozoa"
"acropora formosa","anthozoa"
"leptoseris solida","anthozoa"
"cyphastrea microphthalma","anthozoa"
"ctenactis echinata","anthozoa"
"fungia horrida","anthozoa"
"millepora platyphylla","hydrozoa"
"lobophyllia hemprichii","anthozoa"
"fungia fungites","anthozoa"
"porites lichen","anthozoa"
"pavona duerdeni","anthozoa"
