"","shp_iucn_sid","iucn_sid","sciname","presence","subpop","dbf_file","max_depth","comp_assessed"
"35",165615,165615,"Chaetodon mertensii",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"36",165678,165678,"Chaetodon quadrimaculatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"37",165679,165679,"Chaetodon trichrous",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"38",165680,165680,"Chaetodon rafflesii",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"39",165681,165681,"Chaetodon ephippium",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"40",165686,165686,"Chaetodon bennetti",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"41",165688,165688,"Chaetodon flavirostris",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"42",3851,3851,"Carcharhinus limbatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","< 200 m",TRUE
"43",3855,3855,"Carcharodon carcharias",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"44",19488,19488,"Rhincodon typus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"45",39337,39337,"Pseudocarcharias kamoharai",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"46",39338,39338,"Megachasma pelagios",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
"47",39339,39339,"Alopias vulpinus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CHONDRICHTHYES.dbf","200 m +",TRUE
