"","shp_iucn_sid","iucn_sid","sciname","presence","subpop","dbf_file","max_depth","comp_assessed"
"35",15421,15421,"Orcinus orca",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/MARINE_MAMMALS.dbf","200 m +",TRUE
"36",13006,13006,"Megaptera novaeangliae",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/MARINE_MAMMALS.dbf","200 m +",TRUE
"37",16564,16564,"Peponocephala electra",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/MARINE_MAMMALS.dbf","200 m +",TRUE
"38",22563,22563,"Tursiops truncatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/MARINE_MAMMALS.dbf","200 m +",TRUE
"39",41755,41755,"Physeter macrocephalus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/MARINE_MAMMALS.dbf","200 m +",TRUE
"40",13244,13244,"Mesoplodon densirostris",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/MARINE_MAMMALS.dbf","200 m +",TRUE
"41",11140,11140,"Lagenodelphis hosei",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/MARINE_MAMMALS.dbf","200 m +",TRUE
"42",11047,11047,"Kogia breviceps",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/MARINE_MAMMALS.dbf","200 m +",TRUE
"43",11048,11048,"Kogia sima",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/MARINE_MAMMALS.dbf","200 m +",TRUE
"44",2474,2474,"Balaenoptera acutorostrata",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/MARINE_MAMMALS.dbf","200 m +",TRUE
"45",9461,9461,"Grampus griseus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/MARINE_MAMMALS.dbf","200 m +",TRUE
"46",20729,20729,"Stenella attenuata",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/MARINE_MAMMALS.dbf","200 m +",TRUE
"47",20733,20733,"Stenella longirostris",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/MARINE_MAMMALS.dbf","200 m +",TRUE
"48",9249,9249,"Globicephala macrorhynchus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/MARINE_MAMMALS.dbf","200 m +",TRUE
"49",2475,2475,"Balaenoptera borealis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/MARINE_MAMMALS.dbf","200 m +",TRUE
"50",20738,20738,"Steno bredanensis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/MARINE_MAMMALS.dbf","200 m +",TRUE
"51",13246,13246,"Mesoplodon ginkgodens",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/MARINE_MAMMALS.dbf","200 m +",TRUE
"52",190193,190193,"Sphoeroides pachygaster",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/PUFFERFISH.dbf","200 m +",TRUE
"53",166947,166947,"Lagocephalus sceleratus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/PUFFERFISH.dbf","200 m +",TRUE
"54",190464,190464,"Lagocephalus lagocephalus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/PUFFERFISH.dbf","200 m +",TRUE
"55",193705,193705,"Canthigaster rivulata",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/PUFFERFISH.dbf","200 m +",TRUE
"56",176738,176738,"Hydrophis platurus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/REPTILES.dbf","200 m +",TRUE
"57",3897,3897,"Caretta caretta",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/REPTILES.dbf","200 m +",TRUE
"58",8005,8005,"Eretmochelys imbricata",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/REPTILES.dbf","200 m +",TRUE
"59",4615,4615,"Chelonia mydas",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/REPTILES.dbf","200 m +",TRUE
"60",3897,84156809,"Caretta caretta",1,"Pacific South","/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/REPTILES.dbf","200 m +",TRUE
"61",180315,180315,"Holothuria glandifera",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/SEACUCUMBERS.dbf","unknown",TRUE
"62",180337,180337,"Actinopyga mauritiana",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/SEACUCUMBERS.dbf","200 m +",TRUE
"63",180236,180236,"Holothuria olivacea",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/SEACUCUMBERS.dbf","unknown",TRUE
"64",180265,180265,"Actinopyga miliaris",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/SEACUCUMBERS.dbf","200 m +",TRUE
"65",180226,180226,"Holothuria erinaceaus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/SEACUCUMBERS.dbf","unknown",TRUE
"66",180446,180446,"Holothuria stocki",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/SEACUCUMBERS.dbf","unknown",TRUE
"67",19720058,19720058,"Mesothuria multipora",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/SEACUCUMBERS.dbf","unknown",TRUE
"68",21856,21856,"Thunnus alalunga",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/TUNAS_BILLFISHES.dbf","200 m +",TRUE
"69",21857,21857,"Thunnus albacares",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/TUNAS_BILLFISHES.dbf","200 m +",TRUE
