name,sciname,iucn_sid,population,category
NA,conus litteratus,192719,NA,LC
NA,conus terebra,192586,NA,LC
sand-dusted cone,conus arenatus,192870,NA,LC
NA,conus aulicus,192563,NA,LC
NA,conus geographus,192772,NA,LC
NA,conus ferrugineus,192538,NA,LC
NA,conus litoglyphus,192378,NA,LC
NA,conus magnificus,192573,NA,LC
NA,conus adamsonii,192848,NA,LC
NA,conus chaldaeus,192580,NA,LC
NA,conus leopardus,192386,NA,LC
NA,goniopora somaliensis,133378,NA,LC
NA,leptastrea transversa,133652,NA,LC
NA,montipora verrilli,133305,NA,DD
NA,leptoseris mycetoseroides,133351,NA,LC
NA,leptoseris scabra,133091,NA,LC
NA,montipora informis,133066,NA,LC
NA,pavona cactus,133558,NA,VU
NA,acropora retusa,133115,NA,VU
NA,acropora tenuis,133020,NA,NT
NA,favia pallida,132936,NA,LC
NA,acropora clathrata,133207,NA,LC
NA,turbinaria frondens,133146,NA,LC
NA,pavona frondifera,133242,NA,LC
NA,acropora cytherea,133313,NA,LC
NA,acropora rambleri,132966,NA,DD
NA,podabacia crustacea,133158,NA,LC
NA,fungia moluccensis,133437,NA,LC
NA,astreopora myriophthalma,133292,NA,LC
NA,montipora australiensis,133443,NA,VU
NA,leptoria phrygia,132980,NA,NT
NA,alveopora allingi,133332,NA,VU
NA,acropora inermis,133273,NA,DD
NA,barabattoia laddi,133383,NA,VU
NA,psammocora nierstraszi,133094,NA,LC
NA,acropora nana,133698,NA,NT
NA,acropora samoensis,132998,NA,LC
NA,pachyseris speciosa,133410,NA,LC
NA,favia stelligera,133593,NA,NT
smooth cauliflower coral,stylophora pistillata,133685,NA,NT
NA,acropora speciosa,133338,NA,VU
NA,plerogyra sinuosa,133258,NA,NT
NA,goniastrea australensis,132883,NA,LC
NA,acropora glauca,133550,NA,NT
NA,acropora abrotanoides,133649,NA,LC
NA,favia rotumana,133029,NA,LC
NA,porites vaughani,133016,NA,LC
NA,pavona varians,133398,NA,LC
NA,psammocora haimeana,133406,NA,LC
NA,echinophyllia aspera,133172,NA,LC
NA,montipora angulata,132866,NA,VU
NA,acropora austera,133160,NA,NT
NA,pavona maldivensis,132911,NA,LC
NA,montipora venosa,133635,NA,NT
finger coral,acropora humilis,132992,NA,NT
NA,turbinaria reniformis,133697,NA,VU
NA,echinopora lamellosa,133088,NA,LC
head coral,favia favus,133569,NA,LC
NA,montipora floweri,133186,NA,LC
NA,acropora tortuosa,133252,NA,LC
NA,psammocora superficialis,133502,NA,LC
NA,acropora lutkeni,133303,NA,NT
NA,montipora spumosa,133556,NA,LC
NA,acropora latistella,133120,NA,LC
NA,merulina ampliata,133337,NA,LC
NA,montipora lobulata,133117,NA,VU
NA,stylocoeniella armata,133548,NA,LC
NA,madracis kirbyi,133380,NA,LC
NA,favites complanata,132979,NA,NT
NA,montipora turgescens,133298,NA,LC
NA,acropora nasuta,133239,NA,NT
NA,favites russelli,133343,NA,NT
NA,acropora elseyi,133010,NA,LC
NA,acropora gemmifera,133324,NA,LC
NA,montipora danae,133451,NA,LC
NA,fungia scutaria,133201,NA,LC
NA,porites lutea,133082,NA,LC
NA,montipora effusa,133031,NA,NT
NA,platygyra pini,133440,NA,LC
NA,fungia tenuis,133215,NA,LC
NA,montipora aequituberculata,133314,NA,LC
NA,astreopora randalli,133485,NA,LC
NA,mycedium elephantotus,133559,NA,LC
NA,acropora valida,133293,NA,LC
NA,cyphastrea chalcidicum,133325,NA,LC
NA,porites latistella,133546,NA,LC
NA,barabattoia amicorum,133084,NA,LC
NA,porites arnaudi,133187,NA,LC
NA,pocillopora woodjonesi,132923,NA,LC
NA,montipora caliculata,133220,NA,VU
NA,fungia sinensis,133299,NA,LC
brush coral,acropora hyacinthus,133479,NA,NT
NA,acropora vaughani,133025,NA,VU
elongate mushroom coral,fungia paumotensis,133673,NA,LC
NA,acropora sarmentosa,133271,NA,LC
NA,pocillopora eydouxi,133407,NA,NT
NA,pavona clavus,133240,NA,LC
NA,echinophyllia echinata,133058,NA,LC
NA,favia matthaii,133616,NA,NT
thin birdsnest coral,seriatopora hystrix,133390,NA,LC
NA,acropora granulosa,132948,NA,NT
NA,fungia repanda,132986,NA,LC
staghorn coral,acropora formosa,133644,NA,NT
NA,leptoseris solida,132903,NA,LC
NA,cyphastrea microphthalma,133648,NA,LC
NA,ctenactis echinata,133148,NA,LC
NA,fungia horrida,133423,NA,LC
largebrain root coral,lobophyllia hemprichii,133419,NA,LC
common mushroom coral,fungia fungites,133503,NA,NT
NA,porites lichen,133023,NA,LC
NA,pavona duerdeni,133702,NA,LC
NA,acropora horrida,133319,NA,VU
NA,montipora verrucosa,133646,NA,LC
NA,favia speciosa,133210,NA,LC
NA,scolymia vitiensis,133157,NA,NT
NA,porites murrayensis,133105,NA,NT
NA,acropora nobilis,133266,NA,LC
NA,goniopora stutchburyi,133615,NA,LC
NA,porites solida,133613,NA,LC
NA,acropora paniculata,132972,NA,VU
NA,leptoseris incrustans,133539,NA,VU
NA,acropora longicyathus,132988,NA,LC
NA,ctenactis crassa,133110,NA,LC
NA,fungia scruposa,133308,NA,LC
NA,montipora foveolata,133438,NA,NT
NA,coscinaraea exesa,133176,NA,LC
NA,herpolitha limax,133538,NA,LC
NA,acropora microphthalma,133021,NA,LC
NA,montipora millepora,133015,NA,LC
NA,hydnophora microconos,133458,NA,NT
cauliflower coral,pocillopora damicornis,133222,NA,LC
brain coral,platygyra daedalea,133468,NA,LC
NA,turbinaria mesenterina,133633,NA,VU
NA,fungia concinna,133418,NA,LC
NA,echinopora gemmacea,132987,NA,LC
NA,leptastrea bottae,132983,NA,NT
NA,goniastrea aspera,133452,NA,LC
NA,platygyra sinensis,133068,NA,LC
NA,alveopora spongiosa,133482,NA,NT
NA,sandalolitha dentata,133587,NA,LC
distorted mushroom coral,fungia distorta,133371,NA,LC
NA,coscinaraea columna,133428,NA,LC
NA,montipora tuberculosa,133345,NA,LC
NA,montipora hoffmeisteri,133700,NA,LC
NA,acropora robusta,133248,NA,LC
NA,montipora hispida,133238,NA,LC
