sciname,pop_trend,trend_score,trend_source,class,region_id,year
acropora latistella,Decreasing,3e-4,regr,anthozoa,1,2020
merulina ampliata,Unknown,0,lm,anthozoa,1,2020
montipora lobulata,Decreasing,0,lm,anthozoa,1,2020
stylocoeniella armata,Unknown,0,lm,anthozoa,1,2020
madracis kirbyi,Unknown,0,lm,anthozoa,1,2020
favites complanata,Decreasing,3e-4,regr,anthozoa,1,2020
montipora turgescens,Decreasing,3e-4,regr,anthozoa,1,2020
acropora nasuta,Decreasing,0,lm,anthozoa,1,2020
favites russelli,Decreasing,0,lm,anthozoa,1,2020
acropora elseyi,Decreasing,3e-4,regr,anthozoa,1,2020
acropora gemmifera,Decreasing,0,lm,anthozoa,1,2020
montipora danae,Decreasing,0,lm,anthozoa,1,2020
fungia scutaria,Unknown,0,lm,anthozoa,1,2020
porites lutea,Unknown,0,lm,anthozoa,1,2020
montipora effusa,Decreasing,3e-4,regr,anthozoa,1,2020
platygyra pini,Decreasing,0,lm,anthozoa,1,2020
fungia tenuis,Unknown,0,lm,anthozoa,1,2020
montipora aequituberculata,Decreasing,0,lm,anthozoa,1,2020
astreopora randalli,Decreasing,0,lm,anthozoa,1,2020
mycedium elephantotus,Unknown,0,lm,anthozoa,1,2020
acropora valida,Decreasing,0,lm,anthozoa,1,2020
cyphastrea chalcidicum,Decreasing,0,lm,anthozoa,1,2020
barabattoia amicorum,Decreasing,0,lm,anthozoa,1,2020
pocillopora woodjonesi,Unknown,0,lm,anthozoa,1,2020
montipora caliculata,Decreasing,0,lm,anthozoa,1,2020
fungia sinensis,Unknown,0,lm,anthozoa,1,2020
acropora hyacinthus,Decreasing,3e-4,regr,anthozoa,1,2020
acropora vaughani,Decreasing,0,lm,anthozoa,1,2020
fungia paumotensis,Unknown,0,lm,anthozoa,1,2020
acropora sarmentosa,Decreasing,3e-4,regr,anthozoa,1,2020
pocillopora eydouxi,Unknown,0,lm,anthozoa,1,2020
pavona clavus,Unknown,0,lm,anthozoa,1,2020
porites lobata,Unknown,0,lm,anthozoa,1,2020
echinophyllia echinata,Unknown,0,lm,anthozoa,1,2020
favia matthaii,Decreasing,0,lm,anthozoa,1,2020
seriatopora hystrix,Unknown,0,lm,anthozoa,1,2020
acropora granulosa,Decreasing,0,lm,anthozoa,1,2020
fungia repanda,Unknown,0,lm,anthozoa,1,2020
acropora formosa,Decreasing,0,lm,anthozoa,1,2020
leptoseris solida,Unknown,0,lm,anthozoa,1,2020
cyphastrea microphthalma,Decreasing,0,lm,anthozoa,1,2020
ctenactis echinata,Unknown,0,lm,anthozoa,1,2020
fungia horrida,Unknown,0,lm,anthozoa,1,2020
lobophyllia hemprichii,Unknown,0,lm,anthozoa,1,2020
fungia fungites,Unknown,0,lm,anthozoa,1,2020
porites lichen,Unknown,0,lm,anthozoa,1,2020
pavona duerdeni,Unknown,0,lm,anthozoa,1,2020
acropora horrida,Decreasing,3e-4,regr,anthozoa,1,2020
montipora verrucosa,Decreasing,0,lm,anthozoa,1,2020
favia speciosa,Decreasing,3e-4,regr,anthozoa,1,2020
porites murrayensis,Unknown,0,lm,anthozoa,1,2020
acropora nobilis,Decreasing,3e-4,regr,anthozoa,1,2020
porites solida,Unknown,0,lm,anthozoa,1,2020
acropora paniculata,Decreasing,3e-4,regr,anthozoa,1,2020
leptoseris incrustans,Unknown,0,lm,anthozoa,1,2020
acropora longicyathus,Decreasing,3e-4,regr,anthozoa,1,2020
fungia scruposa,Unknown,0,lm,anthozoa,1,2020
montipora foveolata,Decreasing,0,lm,anthozoa,1,2020
herpolitha limax,Unknown,0,lm,anthozoa,1,2020
acropora microphthalma,Decreasing,0,lm,anthozoa,1,2020
montipora millepora,Decreasing,3e-4,regr,anthozoa,1,2020
hydnophora microconos,Unknown,0,lm,anthozoa,1,2020
pocillopora damicornis,Unknown,0,lm,anthozoa,1,2020
platygyra daedalea,Decreasing,0,lm,anthozoa,1,2020
turbinaria mesenterina,Unknown,0,lm,anthozoa,1,2020
fungia concinna,Unknown,0,lm,anthozoa,1,2020
echinopora gemmacea,Decreasing,3e-4,regr,anthozoa,1,2020
leptastrea bottae,Decreasing,0,lm,anthozoa,1,2020
goniastrea aspera,Decreasing,0,lm,anthozoa,1,2020
platygyra sinensis,Decreasing,3e-4,regr,anthozoa,1,2020
alveopora spongiosa,Unknown,0,lm,anthozoa,1,2020
sandalolitha dentata,Unknown,0,lm,anthozoa,1,2020
coscinaraea columna,Unknown,0,lm,anthozoa,1,2020
montipora tuberculosa,Decreasing,0,lm,anthozoa,1,2020
montipora hoffmeisteri,Decreasing,0,lm,anthozoa,1,2020
acropora robusta,Decreasing,0,lm,anthozoa,1,2020
montipora hispida,Decreasing,3e-4,regr,anthozoa,1,2020
goniastrea pectinata,Decreasing,0,lm,anthozoa,1,2020
favites flexuosa,Decreasing,0,lm,anthozoa,1,2020
leptastrea purpurea,Decreasing,0,lm,anthozoa,1,2020
fungia granulosa,Unknown,0,lm,anthozoa,1,2020
gardineroseris planulata,Unknown,0,lm,anthozoa,1,2020
acropora globiceps,Decreasing,0,lm,anthozoa,1,2020
psammocora profundacella,Unknown,0,lm,anthozoa,1,2020
montipora efflorescens,Decreasing,0,lm,anthozoa,1,2020
pocillopora elegans,Unknown,0,lm,anthozoa,1,2020
acropora secale,Decreasing,0,lm,anthozoa,1,2020
favites abdita,Decreasing,0,lm,anthozoa,1,2020
acropora carduus,Decreasing,3e-4,regr,anthozoa,1,2020
pavona explanulata,Unknown,0,lm,anthozoa,1,2020
psammocora contigua,Unknown,0,lm,anthozoa,1,2020
porites australiensis,Unknown,0,lm,anthozoa,1,2020
alveopora verrilliana,Unknown,0,lm,anthozoa,1,2020
cyphastrea serailia,Decreasing,0,lm,anthozoa,1,2020
acropora loripes,Decreasing,0,lm,anthozoa,1,2020
psammocora digitata,Unknown,0,lm,anthozoa,1,2020
montipora foliosa,Decreasing,0,lm,anthozoa,1,2020
pavona decussata,Unknown,0,lm,anthozoa,1,2020
acropora digitifera,Decreasing,0,lm,anthozoa,1,2020
galaxea fascicularis,Unknown,0,lm,anthozoa,1,2020
leptoseris hawaiiensis,Unknown,0,lm,anthozoa,1,2020
lobophyllia corymbosa,Unknown,0,lm,anthozoa,1,2020
pocillopora verrucosa,Unknown,0,lm,anthozoa,1,2020
acropora pulchra,Decreasing,3e-4,regr,anthozoa,1,2020
goniopora minor,Unknown,0,lm,anthozoa,1,2020
acanthastrea echinata,Unknown,0,lm,anthozoa,1,2020
plesiastrea versipora,Decreasing,0,lm,anthozoa,1,2020
pavona bipartita,Unknown,0,lm,anthozoa,1,2020
fungia costulata,Unknown,0,lm,anthozoa,1,2020
pocillopora capitata,Unknown,0,lm,anthozoa,1,2020
montastrea curta,Decreasing,0,lm,anthozoa,1,2020
acropora monticulosa,Decreasing,0,lm,anthozoa,1,2020
stylocoeniella guentheri,Unknown,0,lm,anthozoa,1,2020
pocillopora ligulata,Unknown,0,lm,anthozoa,1,2020
epinephelus polyphekadion,Decreasing,0.01667,lm,actinopterygii,1,2020
cephalopholis leopardus,Unknown,0,lm,actinopterygii,1,2020
plectropomus laevis,Unknown,-0.03784,lm,actinopterygii,1,2020
cephalopholis argus,Stable,0,lm,actinopterygii,1,2020
cephalopholis polleni,Unknown,0,lm,actinopterygii,1,2020
cephalopholis spiloparaea,Unknown,0,lm,actinopterygii,1,2020
epinephelus hexagonatus,Stable,0,lm,actinopterygii,1,2020
epinephelus merra,Stable,0,lm,actinopterygii,1,2020
cephalopholis urodeta,Stable,0,lm,actinopterygii,1,2020
epinephelus morrhua,Stable,0,lm,actinopterygii,1,2020
epinephelus lanceolatus,Decreasing,0,lm,actinopterygii,1,2020
epinephelus fasciatus,Unknown,0,lm,actinopterygii,1,2020
epinephelus socialis,Unknown,-0.02,lm,actinopterygii,1,2020
variola louti,Stable,0,lm,actinopterygii,1,2020
cephalopholis sexmaculata,Unknown,0,lm,actinopterygii,1,2020
epinephelus tuamotuensis,Unknown,0,lm,actinopterygii,1,2020
peponocephala electra,Unknown,0,lm,mammalia,1,2020
steno bredanensis,Unknown,0,lm,mammalia,1,2020
stenella coeruleoalba,Unknown,-0.01763,lm,mammalia,1,2020
balaenoptera bonaerensis,Unknown,-0.00909,lm,mammalia,1,2020
physeter macrocephalus,Unknown,0,lm,mammalia,1,2020
tursiops truncatus,Unknown,0,lm,mammalia,1,2020
stenella longirostris,Unknown,-0.01818,lm,mammalia,1,2020
globicephala macrorhynchus,Unknown,-0.01818,lm,mammalia,1,2020
megaptera novaeangliae,Increasing,-0.01388,lm,mammalia,1,2020
balaenoptera borealis,Increasing,0.00532,lm,mammalia,1,2020
grampus griseus,Unknown,0,lm,mammalia,1,2020
balaenoptera musculus,Increasing,-0.00326,lm,mammalia,1,2020
lagenodelphis hosei,Unknown,0,lm,mammalia,1,2020
balaenoptera acutorostrata,Unknown,-0.00934,lm,mammalia,1,2020
pseudorca crassidens,Unknown,0.00909,lm,mammalia,1,2020
stenella attenuata,Unknown,-0.01931,lm,mammalia,1,2020
canthigaster valentini,Decreasing,3e-4,regr,actinopterygii,1,2020
eretmochelys imbricata,Decreasing,0.00926,lm,reptilia,1,2020
caretta caretta,Decreasing,8.6e-4,lm,reptilia,1,2020
hydrophis platurus,Stable,0,lm,reptilia,1,2020
chelonia mydas,Decreasing,0,lm,reptilia,1,2020
holothuria fuscogilva,Decreasing,3e-4,regr,holothuroidea,1,2020
actinopyga mauritiana,Decreasing,3e-4,regr,holothuroidea,1,2020
bohadschia vitiensis,Decreasing,3e-4,regr,holothuroidea,1,2020
actinopyga miliaris,Decreasing,3e-4,regr,holothuroidea,1,2020
naso vlamingii,Decreasing,0,lm,actinopterygii,1,2020
dunckerocampus dactyliophorus,Decreasing,3e-4,regr,actinopterygii,1,2020
microphis brachyurus,Unknown,0,lm,actinopterygii,1,2020
choeroichthys sculptus,Decreasing,3e-4,regr,actinopterygii,1,2020
corythoichthys flavofasciatus,Decreasing,3e-4,regr,actinopterygii,1,2020
corythoichthys nigripectus,Decreasing,3e-4,regr,actinopterygii,1,2020
micrognathus brevirostris,Decreasing,3e-4,regr,actinopterygii,1,2020
thunnus orientalis,Decreasing,0.13333,lm,actinopterygii,1,2020
thunnus albacares,Decreasing,0.01333,lm,actinopterygii,1,2020
makaira nigricans,Decreasing,3e-4,regr,actinopterygii,1,2020
thunnus alalunga,Decreasing,3e-4,regr,actinopterygii,1,2020
xiphias gladius,Decreasing,3e-4,regr,actinopterygii,1,2020
kajikia audax,Decreasing,3e-4,regr,actinopterygii,1,2020
thunnus obesus,Decreasing,0,lm,actinopterygii,1,2020
calotomus carolinus,Unknown,0,lm,actinopterygii,1,2020
cetoscarus ocellatus,Unknown,0,lm,actinopterygii,1,2020
scarus globiceps,Unknown,0,lm,actinopterygii,1,2020
scarus altipinnis,Unknown,0,lm,actinopterygii,1,2020
chlorurus microrhinos,Unknown,0,lm,actinopterygii,1,2020
scarus psittacus,Unknown,0,lm,actinopterygii,1,2020
scarus niger,Unknown,0,lm,actinopterygii,1,2020
scarus forsteni,Unknown,0,lm,actinopterygii,1,2020
scarus pyrrostethus,Unknown,0,lm,actinopterygii,1,2020
scarus oviceps,Unknown,0,lm,actinopterygii,1,2020
scarus schlegeli,Unknown,0,lm,actinopterygii,1,2020
scarus tricolor,Unknown,0,lm,actinopterygii,1,2020
chlorurus spilurus,Unknown,0,lm,actinopterygii,1,2020
scarus rubroviolaceus,Unknown,0,lm,actinopterygii,1,2020
hipposcarus longiceps,Unknown,0,lm,actinopterygii,1,2020
scarus frenatus,Unknown,0,lm,actinopterygii,1,2020
leptoscarus vaigiensis,Unknown,0,lm,actinopterygii,1,2020
chlorurus frontalis,Stable,0,lm,actinopterygii,1,2020
circus approximans,Stable,0,lm,aves,1,2020
egretta sacra,Stable,0,lm,aves,1,2020
fregetta grallaria,Decreasing,0,lm,aves,1,2020
fregetta tropica,Decreasing,0,lm,aves,1,2020
thalassarche eremita,Stable,-0.03007,lm,aves,1,2020
gygis alba,Stable,0,lm,aves,1,2020
oceanites oceanicus,Stable,0,lm,aves,1,2020
nesofregetta fuliginosa,Decreasing,0.02277,lm,aves,1,2020
numenius tahitiensis,Decreasing,-0.00453,lm,aves,1,2020
onychoprion lunatus,Decreasing,0,lm,aves,1,2020
pelagodroma marina,Decreasing,0,lm,aves,1,2020
anous ceruleus,Stable,0,lm,aves,1,2020
pseudobulweria rostrata,Decreasing,0.00719,lm,aves,1,2020
pterodroma neglecta,Decreasing,0,lm,aves,1,2020
pterodroma alba,Decreasing,0.02328,lm,aves,1,2020
pterodroma cervicalis,Increasing,0.00752,lm,aves,1,2020
pterodroma heraldica,Decreasing,0,lm,aves,1,2020
puffinus bailloni,Stable,0,lm,aves,1,2020
puffinus nativitatis,Stable,0,lm,aves,1,2020
thalasseus bergii,Stable,0,lm,aves,1,2020
tringa incana,Stable,0,lm,aves,1,2020
zapornia tabuensis,Unknown,0,lm,aves,1,2020
pterodroma atrata,Decreasing,0,lm,aves,1,2020
procellaria parkinsoni,Stable,-0.00377,lm,aves,1,2020
pterodroma cookii,Increasing,-0.00404,lm,aves,1,2020
pterodroma inexpectata,Decreasing,0.00708,lm,aves,1,2020
pterodroma nigripennis,Decreasing,0,lm,aves,1,2020
pterodroma leucoptera,Decreasing,0.01442,lm,aves,1,2020
pterodroma ultima,Unknown,1.7e-4,lm,aves,1,2020
sula dactylatra,Decreasing,0,lm,aves,1,2020
sula leucogaster,Decreasing,0,lm,aves,1,2020
sula sula,Decreasing,0,lm,aves,1,2020
ardenna bulleri,Stable,0.01161,lm,aves,1,2020
pterodroma brevipes,Decreasing,0.01705,lm,aves,1,2020
phaethon rubricauda,Stable,0,lm,aves,1,2020
anas superciliosa,Unknown,0,lm,aves,1,2020
anous stolidus,Stable,0,lm,aves,1,2020
anous minutus,Stable,0,lm,aves,1,2020
arenaria interpres,Decreasing,0,lm,aves,1,2020
butorides striata,Decreasing,0,lm,aves,1,2020
fregata ariel,Decreasing,0,lm,aves,1,2020
phaethon lepturus,Decreasing,0,lm,aves,1,2020
ardenna pacifica,Decreasing,0,lm,aves,1,2020
ardenna tenuirostris,Decreasing,0,lm,aves,1,2020
fregata minor,Decreasing,0,lm,aves,1,2020
onychoprion fuscatus,Unknown,0,lm,aves,1,2020
