rgn_id,iucn_sid,year,category,eval_year
1,22696698,2018,LC,2019
1,22696698,2016,LC,2019
1,22696698,2012,LC,2019
1,22696698,2009,LC,2019
1,22696698,2008,LC,2019
1,22696698,2004,LC,2019
1,22696698,2000,LR/lc,2019
1,22696698,1994,LR/lc,2019
1,22696698,1988,LR/lc,2019
1,22696694,2018,LC,2019
1,22696694,2016,LC,2019
1,22696694,2012,LC,2019
1,22696694,2009,LC,2019
1,22696694,2008,LC,2019
1,22696694,2004,LC,2019
1,22696694,2000,LR/lc,2019
1,22696694,1994,LR/lc,2019
1,22696694,1988,LR/lc,2019
1,22694821,2018,LC,2019
1,22694821,2016,LC,2019
1,22694821,2012,LC,2019
1,22694821,2009,LC,2019
1,22694821,2008,LC,2019
1,22694821,2004,LC,2019
1,22694821,2000,LR/lc,2019
1,22694821,1994,LR/lc,2019
1,22694821,1988,LR/lc,2019
1,22697733,2018,LC,2019
1,22697733,2016,LC,2019
1,22697733,2012,LC,2019
1,22697733,2009,LC,2019
1,22697733,2008,LC,2019
1,22697733,2004,LC,2019
1,22697733,2000,LR/lc,2019
1,22697733,1994,LR/lc,2019
1,22697733,1988,LR/lc,2019
1,22697738,2018,LC,2019
1,22697738,2017,LC,2019
1,22697738,2016,LC,2019
1,22697738,2012,LC,2019
1,22697738,2009,LC,2019
1,22697738,2008,LC,2019
1,22697738,2004,LC,2019
1,22697738,2000,LR/lc,2019
1,22697738,1994,LR/lc,2019
1,22697738,1988,LR/lc,2019
1,22693182,2016,VU,2019
1,22693182,2012,VU,2019
1,22693182,2008,VU,2019
1,22693182,2006,VU,2019
1,22693182,2004,VU,2019
1,22693182,2000,VU,2019
1,22693182,1996,VU,2019
1,22693182,1994,VU,2019
1,22693182,1988,T,2019
1,22696980,2018,LC,2019
1,22696980,2016,LC,2019
1,22696980,2012,LC,2019
1,22696980,2009,LC,2019
1,22696980,2008,LC,2019
1,22696980,2004,LC,2019
1,22696980,2000,LR/lc,2019
1,22696980,1994,LR/lc,2019
1,22696980,1988,LR/lc,2019
1,22693735,2016,LC,2019
1,22693735,2012,LC,2019
1,22693735,2009,LC,2019
1,22693735,2008,LC,2019
1,22693735,2004,LC,2019
1,22693735,2000,LR/lc,2019
1,22693735,1994,LR/lc,2019
1,22693735,1988,LR/lc,2019
1,22693305,2016,LC,2019
1,22693305,2012,LC,2019
1,22693305,2009,LC,2019
1,22693305,2008,LC,2019
1,22693305,2004,LC,2019
1,22693305,2000,LR/lc,2019
1,22693305,1994,LR/lc,2019
1,22693305,1988,LR/lc,2019
1,193662,2014,LC,2019
1,195775,2019,LC,2019
1,67871036,2016,LC,2019
1,178012,2012,LC,2019
1,190715,2012,LC,2019
1,190715,2010,LC,2019
1,67903042,2016,LC,2019
1,190736,2012,LC,2019
1,190736,2010,LC,2019
1,69741115,2016,LC,2019
1,193712,2014,LC,2019
1,132781,2018,LC,2019
1,132781,2008,LC,2019
1,165878,2010,LC,2019
1,165631,2010,LC,2019
1,165651,2010,LC,2019
1,132788,2018,LC,2019
1,132788,2008,LC,2019
1,16719296,2016,LC,2019
1,60324,2019,LC,2019
1,60324,2017,LC,2019
1,20430651,2016,LC,2019
1,177950,2012,LC,2019
1,187396,2010,LC,2019
1,187559,2010,LC,2019
1,65364818,2017,LC,2019
1,67871143,2016,LC,2019
1,195741,2019,LC,2019
1,67853451,2016,LC,2019
1,50903234,2016,LC,2019
1,50903119,2016,LC,2019
1,20429455,2016,LC,2019
1,194377,2016,LC,2019
1,69181941,2016,LC,2019
1,165640,2010,LC,2019
1,187722,2010,LC,2019
1,177995,2012,LC,2019
1,177970,2012,LC,2019
1,39375,2009,NT,2019
1,39375,2000,LR/nt,2019
1,42834,2003,EN,2019
1,195459,2019,VU,2019
1,195459,2011,VU,2019
1,9249,2018,LC,2019
1,9249,2011,DD,2019
1,9249,2008,DD,2019
1,9249,1996,LR/cd,2019
1,9249,1994,K,2019
1,20738,2019,LC,2019
1,20738,2012,LC,2019
1,20738,2008,LC,2019
1,20738,1996,DD,2019
1,20738,1994,K,2019
1,20733,2018,LC,2019
1,20733,2012,DD,2019
1,20733,2008,DD,2019
1,20733,1996,LR/cd,2019
1,13244,2008,DD,2019
1,13244,1996,DD,2019
1,13244,1994,K,2019
1,8005,2008,CR,2019
1,8005,1996,CR,2019
1,8005,1994,E,2019
1,8005,1990,E,2019
1,8005,1988,E,2019
1,8005,1986,E,2019
1,8005,1982,E,2019
1,16285718,2019,LC,2019
1,16285718,2012,LC,2019
1,46967807,2013,CR,2019
1,84156809,2015,CR,2019
1,2811,1996,DD,2019
1,2811,1994,R,2019
1,2811,1990,R,2019
1,2811,1988,R,2019
1,2811,1986,R,2019
1,2811,1983,R,2019
1,163055,2018,LC,2019
1,22138,1996,LR/cd,2019
1,22138,1994,K,2019
1,22138,1990,K,2019
1,22138,1988,K,2019
1,22138,1986,K,2019
1,22138,1983,K,2019
1,133216,2014,NT,2019
1,133216,2008,NT,2019
1,133291,2014,VU,2019
1,133291,2008,VU,2019
1,133197,2014,LC,2019
1,133197,2008,LC,2019
1,133595,2008,LC,2019
1,180421,2013,LC,2019
1,132832,2008,EN,2019
1,16564,2019,LC,2019
1,16564,2008,LC,2019
1,16564,1996,LR/lc,2019
1,16564,1994,K,2019
1,11534,2008,VU,2019
1,11534,1996,EN,2019
1,11534,1994,E,2019
1,11534,1990,E,2019
1,11534,1988,E,2019
1,11534,1986,E,2019
1,11534,1982,E,2019
1,39415,2006,NT,2019
1,39415,2000,DD,2019
