"zone","year","pressure_score"
1,"1958",4.34871662048588
1,"1959",4.35841724891524
1,"1960",4.35309863460757
1,"1961",4.36689733622789
1,"1962",4.34239758466816
1,"1963",4.36450018800374
1,"1964",4.33855287995076
1,"1965",4.32516780115235
1,"1966",4.26370874303244
1,"1967",4.24495429491126
1,"1968",4.23563342079976
1,"1969",4.29066686293713
1,"1970",4.27196858742004
1,"1971",4.18357543816997
1,"1972",4.25028011859438
1,"1973",4.20841887105172
1,"1974",4.16480909555078
1,"1975",4.19787329687327
1,"1976",4.17005739089447
1,"1977",4.25089671965044
1,"1978",4.23419208379035
1,"1979",4.2600334028936
1,"1980",4.26324175328186
1,"1981",4.23169965122742
1,"1982",4.27129124559197
1,"1983",4.21810836540306
1,"1984",4.15744814742995
1,"1985",4.14407556981799
1,"1986",4.15845404771968
1,"1987",4.20467434395076
1,"1988",4.16632223539206
1,"1989",4.07725090716481
1,"1990",4.07237089976763
1,"1991",4.16094781375049
1,"1992",4.16452848429451
1,"1993",4.12935574455997
1,"1994",4.15599005313612
1,"1995",4.1682060881768
1,"1996",4.10995187954866
1,"1997",4.07624421955564
1,"1998",4.01504800712752
1,"1999",3.99415667725749
1,"2000",4.01433203895196
1,"2001",4.01073951431115
1,"2002",4.00839744160514
1,"2003",4.02767854302846
1,"2004",4.00362172187544
1,"2005",4.00216829486882
1,"2006",4.00102005534933
1,"2007",3.99400210853604
1,"2008",3.9283347070479
1,"2009",3.93655229968889
1,"2010",3.94932156786095
1,"2011",3.86776355258932
1,"2012",3.93101431791779
1,"2013",3.88553477540644
1,"2014",3.85546964850899
1,"2015",3.88726149661804
1,"2016",3.91173625315112
